Visual_score_norm,hfp_our_norm
0,0
0,0
0,1.46275E-08
0,1.94361E-07
0,0
0,0.000101886
0,0
0,3.41132E-09
0,0
0,9.7206E-09
0,0
0,6.4861E-05
0,0
0,0
0,0.000184773
0,4.53499E-09
0,0
0,3.55145E-09
0,3.76304E-09
0,0.160211653
0,0
0,0
0,1.51461E-07
0,0
0,0
0,9.8133E-05
0,0
0,0.000117692
0,0
0,9.85805E-05
0,6.87916E-05
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,6.884E-05
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.03539823,0.02949681
0,0
0,0
0,0
0,0.005087557
0,0
0,0
0,4.93798E-05
0,0.00010222
0,0
0,0
0,3.94096E-05
0,0
0,0.000111786
0,0
0,0
0,0.08017612
0,0.00566154
0,0.034616557
0,0.000132691
0,0.160586298
0,0.000307522
0,0.056094805
0,0
0,0
0,0.00010078
0.10619469,0.00507216
0,0
0,6.51471E-05
0,0.005598419
0,0
0,0.005086396
0,0
0,0
0,0.001595107
0,0.000206001
0,0.027221625
0.10619469,3.70253E-05
0,0.009013134
0,0.005183933
0,0.08
0,0
0,0.000350867
0,0.00518682
0,0
0,0.081200674
0,0.015994557
0,0.005212905
0,0.00527662
0,0
0,0
0.03539823,0
0,0
0.053097345,0.005858121
0,0.003237202
0,0.005196115
0,0.016871278
0,0.004728459
0,0.007328953
0,0
0,0.000124262
0.053097345,0.081666608
0,0.167330242
0,4.59225E-05
0,0.00514049
0,0
0,0
0,9.02419E-05
0,4.09586E-05
0,0
0,0.009730738
0,0.110237275
0,0.000309659
0,0.017114636
0,0.013629707
0,0.007852331
0,0.044957427
0,8.12953E-05
0,0.01386817
0,2.19237E-10
0,0.005373585
0,0.005614344
0,0.005437738
0,0.08
0,0
0.159292035,6.82437E-05
0,0.005118971
0,5.68723E-05
0,0.000788099
0,0
0,0
0,0.092195482
0,0.032784979
0,0.000144036
0,0.004783006
0,0.160963059
0,0
0,0
0,0
0,0.005867594
0,0
0,0.028204323
0,0.006089783
0,0
0,0.005682294
0,0.080089862
0,0.000337223
0,0.000153184
0,7.71244E-05
0,0.008854993
0,0.024838295
0,0
0,0
0,0.007590829
0,0.000282769
0,0.006634888
0,0
0,3.24445E-05
0,0.005524933
0,0.007446577
0,0.000315492
0,0
0,0.162141879
0,0
0,0.000192255
0,9.88698E-05
0.194690265,0.161635664
0.477876106,0.50901799
0,0.005165753
0,0
0,0.015302119
0,0.0050202
0,0
0,3.58387E-06
0,3.58592E-06
0,0
0,0
0.14159292,0.16064713
0,0.006633562
0,0.000212679
0,0.000547609
0.07079646,0.023700381
0,0
